text,scene
"Don't waste time, sergeant. You and I both know what's going on here.",82
I can't leave you...,82
No. You can't take me.,82
"Four minutes and those bombs drop, Sergeant.",82
I keep playing it over in my head... If I'd done things differently... Maybe I could have gotten Hector out earlier.,82
You can't look back. You make the best decision you can...,82
"Just promise you'll get my son out of here, Sergeant.",82
I promise.,82
I'm trusting you with the only thing I have in this world.,82
Sergeant! Hard wire connection!,82
"Damn, that's Cherise...",82
"I'm very proud of you, son. You're being so brave...",82
"I love you, Hector.",82
Thirty seconds!,82
Get away from the windows! Get those kids behind cover!,82
C'mon. Fry those bastards...,82
"Those bombs drop, then everything's gonna change. Get to the FOB, get some goddamn ammo...",82
Some goddamn food...,82
Some goddamn tanks.,82
"They shoulda' dropped, right? We'd feel it from here, wouldn't we?",82
That much ordinance? They'd feel it in Nevada. Something's wrong...,82
Maybe it's good... Maybe we turned the tide...,82
"Yeah, right, Imlay... 'Cause we were kickin' ass out there.",82
"What's happening, Sergeant? What's that mean?",82
I don't know.,82
Sergeant... Mr. Rincon is dead.,82
Jesus...,82
"Listen, our Forward Operating Base is about a mile away. We have to go on foot. I'll need your help with Hector now.",82
I'm sorry Hector. Your dad... didn't make it. You understand?,82
I don't wanna be here. I want my dad back. I want it all to go back to the way it was before...,82
"Sergeant, we got hostiles in front.",82
"Me too, Hector. I wish it could go back, too...",82
"Out of time, sergeant.",82
Tries to lead Hector away. Hector struggles.,82
"We have to go, Hector.",82
No! No! I want my dad!!!,82
"Stavrou, Harris.",83
"Yes, Sergeant.",83
Blow something up.,83
"Yes, Sergeant.",83
Don't think they'll be comin' out that way...,83
Check it out.,83
This is the hardest thing you'll ever have to do...,83
"But we'll get through it together. I promise, Hector.",83
"Looks good, both directions.",83
We are not losing one more of these civilians. Period. Am I making myself clear? Let's move.,83
"You okay, bro?",84
"I hadn't a pushed Cherise to get married, she'd still be in Chicago.",84
Under the cars! Now!,84
"How far, sergeant?",85
One block over.,85
"We'.re gonna make it! Dude, we're gonna make it...",85
What's the matter?,85
The smell.,85
Jesus... They wiped our Forward Operating Base right off the map.,85
Now we know why those bombs never dropped. They took our jets out.,85
"This was a dug-in marine Corps position that had armor, air and ground. Maybe we got nothing left to fight with...",85
Let's get under cover. Now.,85
Lock this place down.,86
"You're a brave kid. When this is over, you're going to be a hero.",86
"People always say that. ""He's a hero."" No one even knows what a hero is.",86
Your dad was a hero.,86
He saved Pvt. Adukwu up on that freeway.,86
"You save a marine under fire, you get a medal, y'know.",86
"This is our medallion. It's yours. For your dad. You're 2/5 now, Hector.",86
"What's that mean, ""retreat hell?""",86
"During World War I, an officer from our regiment was ordered to retreat. He said, ""Retreat? Hell, we just got here!""",86
"We're secure, sergeant.",86
"Listen up. We need ammo. Kerns, Adukwu stay with the civilians. The rest of us, let's move.",86
I'll be right back.,86
"Sorry, bro.",87
"Sorry, bro.",87
Looks like it just rolled off the goddamn assembly line!,87
"Good job, Sergeant!",87
Can you drive this thing?,87
"Hell, if it's got an engine, sergeant, I can drive it.",87
Good. Get it running.,87
Seems like vehicles are targets...,87
"A minivan's a target, Correggio. A LAV with a Bushmaster chaingun... That's an asset.",87
Come on.,87
"Me? Where, sergeant?",87
High ground. We need to see the big picture.,87
"My dad's a fireman. They love their ice cream. Used to visit the firehouse with my little brother, they always had tons of it... My brother's not much older than these guys.",88
"You don't look much older, either.",88
Is this day ever going to end?,88
Maybe the Sergeant'll find a way outta here.,88
What's with you guys anyway? Doesn't anybody have a first name?,88
Emmanuel. Manny.,88
Pete. You married? Family?,88
"I'm single. Lots of family back in Nebraska, though... Hopefully they're safe...",88
What about you guys?,88
Little Rock.,88
Nigeria. I came here to be a doctor.,88
"You should be a surgeon, the way you cut into that thing...",88
Yeah. Maybe...,88
Look how far east they've gotten. That's almost the whole city...,89
What the hell's that?,89
There's zero activity there. And the area does seem completely devoid of activity  No alien or human aircraft above it. Like a DEAD ZONE.,89
"What are we gonna do, Sergeant?",89
That must be the alternate extraction site. Maybe we can evacuate the civilians there...,89
"Get them in the LAV. I'll radio for an evac helicopter... When I do, they'll be coming, so we have to move fast.",89
"Think we can make it, Sergeant?",89
"We're gonna give it one helluva try, Imlay.",89
We're not dying here.,89
